date,period,long_short_return,long_only_return,top_stocks,bottom_stocks,n_top,n_bottom
2018-01-31,2018-01,-0.02607179264092374,0.17767681594629808,"['ACB', 'BID', 'MBB', 'STB', 'VIC', 'PNJ', 'REE']","['BVH', 'GAS', 'HPG', 'VCB', 'VNM', 'DPM', 'EIB']",7,7
2018-02-28,2018-01,0.06684712046636067,0.07103663957419369,"['ACB', 'BID', 'MBB', 'STB', 'VIC', 'PNJ', 'REE']","['BVH', 'GAS', 'HPG', 'VCB', 'VNM', 'DPM', 'EIB']",7,7
2018-03-31,2018-01,0.08551694933753273,0.08956052249058452,"['ACB', 'BID', 'MBB', 'STB', 'VIC', 'PNJ', 'REE']","['BVH', 'GAS', 'HPG', 'VCB', 'VNM', 'DPM', 'EIB']",7,7
2018-04-30,2018-01,-0.010009156176776515,-0.09254941774473666,"['ACB', 'BID', 'MBB', 'STB', 'VIC', 'PNJ', 'REE']","['BVH', 'GAS', 'HPG', 'VCB', 'VNM', 'DPM', 'EIB']",7,7
2018-05-31,2018-01,-0.002295457515085697,-0.08692072699477245,"['ACB', 'BID', 'MBB', 'STB', 'VIC', 'PNJ', 'REE']","['BVH', 'GAS', 'HPG', 'VCB', 'VNM', 'DPM', 'EIB']",7,7
2018-06-30,2018-01,-0.0829189454372045,-0.06674950212688831,"['ACB', 'BID', 'MBB', 'STB', 'VIC', 'PNJ', 'REE']","['BVH', 'GAS', 'HPG', 'VCB', 'VNM', 'DPM', 'EIB']",7,7
2018-07-31,2018-07,0.006179833849604036,0.027384581875598765,"['ACB', 'GAS', 'HPG', 'MBB', 'MSN', 'VIC', 'VJC', 'PNJ']","['MWG', 'ROS', 'STB', 'VNM', 'DPM', 'GMD', 'EIB', 'REE']",8,8
2018-08-31,2018-07,0.09123448056471756,0.07866499131396058,"['ACB', 'GAS', 'HPG', 'MBB', 'MSN', 'VIC', 'VJC', 'PNJ']","['MWG', 'ROS', 'STB', 'VNM', 'DPM', 'GMD', 'EIB', 'REE']",8,8
2018-09-30,2018-07,-0.04827643170133972,0.011990728948658769,"['ACB', 'GAS', 'HPG', 'MBB', 'MSN', 'VIC', 'VJC', 'PNJ']","['MWG', 'ROS', 'STB', 'VNM', 'DPM', 'GMD', 'EIB', 'REE']",8,8
2018-10-31,2018-07,-0.004919746702824801,-0.07845610775675677,"['ACB', 'GAS', 'HPG', 'MBB', 'MSN', 'VIC', 'VJC', 'PNJ']","['MWG', 'ROS', 'STB', 'VNM', 'DPM', 'GMD', 'EIB', 'REE']",8,8
2018-11-30,2018-07,-0.08836531199796857,-0.04951526350137388,"['ACB', 'GAS', 'HPG', 'MBB', 'MSN', 'VIC', 'VJC', 'PNJ']","['MWG', 'ROS', 'STB', 'VNM', 'DPM', 'GMD', 'EIB', 'REE']",8,8
2018-12-31,2018-07,-0.015395471563608487,-0.04689474105780317,"['ACB', 'GAS', 'HPG', 'MBB', 'MSN', 'VIC', 'VJC', 'PNJ']","['MWG', 'ROS', 'STB', 'VNM', 'DPM', 'GMD', 'EIB', 'REE']",8,8
2019-01-31,2018-07,-0.040960416586510465,0.021182535251343865,"['ACB', 'GAS', 'HPG', 'MBB', 'MSN', 'VIC', 'VJC', 'PNJ']","['MWG', 'ROS', 'STB', 'VNM', 'DPM', 'GMD', 'EIB', 'REE']",8,8
2019-02-28,2019-01,-0.01563611001077564,0.02287168207407403,"['BID', 'BVH', 'SAB', 'VIC', 'DPM', 'EIB', 'PNJ', 'KDH']","['CTG', 'FPT', 'MWG', 'ROS', 'VNM', 'VPB', 'VRE', 'GMD', 'REE']",8,9
2019-03-31,2019-01,0.029856793868036774,0.025026662042344536,"['BID', 'BVH', 'SAB', 'VIC', 'DPM', 'EIB', 'PNJ', 'KDH']","['CTG', 'FPT', 'MWG', 'ROS', 'VNM', 'VPB', 'VRE', 'GMD', 'REE']",8,9
2019-04-30,2019-01,-0.028349229532566588,-0.0360626685878401,"['BID', 'BVH', 'SAB', 'VIC', 'DPM', 'EIB', 'PNJ', 'KDH']","['CTG', 'FPT', 'MWG', 'ROS', 'VNM', 'VPB', 'VRE', 'GMD', 'REE']",8,9
2019-05-31,2019-01,-0.0004249461724733783,-0.004964951512757471,"['BID', 'BVH', 'SAB', 'VIC', 'DPM', 'EIB', 'PNJ', 'KDH']","['CTG', 'FPT', 'MWG', 'ROS', 'VNM', 'VPB', 'VRE', 'GMD', 'REE']",8,9
2019-06-30,2019-01,0.010376959013738035,0.0020360832719554106,"['BID', 'BVH', 'SAB', 'VIC', 'DPM', 'EIB', 'PNJ', 'KDH']","['CTG', 'FPT', 'MWG', 'ROS', 'VNM', 'VPB', 'VRE', 'GMD', 'REE']",8,9
2019-07-31,2019-01,-0.03321793189364898,0.013484571930960101,"['BID', 'BVH', 'SAB', 'VIC', 'DPM', 'EIB', 'PNJ', 'KDH']","['CTG', 'FPT', 'MWG', 'ROS', 'VNM', 'VPB', 'VRE', 'GMD', 'REE']",8,9
2019-08-31,2019-07,0.03209865394767125,0.031110889264722864,"['BID', 'FPT', 'GAS', 'MWG', 'SAB', 'VCB', 'GVR', 'EIB', 'PNJ', 'KDH']","['CTG', 'HDB', 'HPG', 'ROS', 'TCB', 'VHM', 'VJC', 'VNM', 'VPB', 'DPM']",10,10
2019-09-30,2019-07,-0.013677713070784584,0.019424405388073062,"['BID', 'FPT', 'GAS', 'MWG', 'SAB', 'VCB', 'GVR', 'EIB', 'PNJ', 'KDH']","['CTG', 'HDB', 'HPG', 'ROS', 'TCB', 'VHM', 'VJC', 'VNM', 'VPB', 'DPM']",10,10
2019-10-31,2019-07,0.0008382603370279615,0.013764329643382377,"['BID', 'FPT', 'GAS', 'MWG', 'SAB', 'VCB', 'GVR', 'EIB', 'PNJ', 'KDH']","['CTG', 'HDB', 'HPG', 'ROS', 'TCB', 'VHM', 'VJC', 'VNM', 'VPB', 'DPM']",10,10
2019-11-30,2019-07,0.027358840114162536,-0.0318327217306489,"['BID', 'FPT', 'GAS', 'MWG', 'SAB', 'VCB', 'GVR', 'EIB', 'PNJ', 'KDH']","['CTG', 'HDB', 'HPG', 'ROS', 'TCB', 'VHM', 'VJC', 'VNM', 'VPB', 'DPM']",10,10
2019-12-31,2019-07,0.05775415724240979,0.012638540536557118,"['BID', 'FPT', 'GAS', 'MWG', 'SAB', 'VCB', 'GVR', 'EIB', 'PNJ', 'KDH']","['CTG', 'HDB', 'HPG', 'ROS', 'TCB', 'VHM', 'VJC', 'VNM', 'VPB', 'DPM']",10,10
2020-01-31,2019-07,0.0006943862340130537,-0.025227302626698124,"['BID', 'FPT', 'GAS', 'MWG', 'SAB', 'VCB', 'GVR', 'EIB', 'PNJ', 'KDH']","['CTG', 'HDB', 'HPG', 'ROS', 'TCB', 'VHM', 'VJC', 'VNM', 'VPB', 'DPM']",10,10
2020-02-29,2020-01,0.029350153960633285,-0.04072666017962916,"['BID', 'FPT', 'MBB', 'MWG', 'VCB', 'VIC', 'VJC', 'VRE', 'PNJ', 'REE']","['ACB', 'BVH', 'HDB', 'HPG', 'MSN', 'ROS', 'SAB', 'STB', 'TCB', 'POW']",10,10
2020-03-31,2020-01,-0.06422743215002968,-0.2932665721653798,"['BID', 'FPT', 'MBB', 'MWG', 'VCB', 'VIC', 'VJC', 'VRE', 'PNJ', 'REE']","['ACB', 'BVH', 'HDB', 'HPG', 'MSN', 'ROS', 'SAB', 'STB', 'TCB', 'POW']",10,10
2020-04-30,2020-01,-0.028826162532112815,0.1886432052047661,"['BID', 'FPT', 'MBB', 'MWG', 'VCB', 'VIC', 'VJC', 'VRE', 'PNJ', 'REE']","['ACB', 'BVH', 'HDB', 'HPG', 'MSN', 'ROS', 'SAB', 'STB', 'TCB', 'POW']",10,10
2020-05-31,2020-01,0.0026978192844804155,0.09730346000762627,"['BID', 'FPT', 'MBB', 'MWG', 'VCB', 'VIC', 'VJC', 'VRE', 'PNJ', 'REE']","['ACB', 'BVH', 'HDB', 'HPG', 'MSN', 'ROS', 'SAB', 'STB', 'TCB', 'POW']",10,10
2020-06-30,2020-01,0.012514344717467048,-0.05737469950753079,"['BID', 'FPT', 'MBB', 'MWG', 'VCB', 'VIC', 'VJC', 'VRE', 'PNJ', 'REE']","['ACB', 'BVH', 'HDB', 'HPG', 'MSN', 'ROS', 'SAB', 'STB', 'TCB', 'POW']",10,10
2020-07-31,2020-01,-0.01142018757937462,-0.04088016894588642,"['BID', 'FPT', 'MBB', 'MWG', 'VCB', 'VIC', 'VJC', 'VRE', 'PNJ', 'REE']","['ACB', 'BVH', 'HDB', 'HPG', 'MSN', 'ROS', 'SAB', 'STB', 'TCB', 'POW']",10,10
2020-08-31,2020-07,0.020253104461681673,0.1384336606913227,"['ACB', 'BID', 'CTG', 'FPT', 'HPG', 'TCB', 'VCB', 'VHM', 'VPB', 'REE']","['BVH', 'GAS', 'MSN', 'ROS', 'SAB', 'VIC', 'VRE', 'PLX', 'POW', 'PNJ']",10,10
2020-09-30,2020-07,0.03671820240296123,0.031987029919251064,"['ACB', 'BID', 'CTG', 'FPT', 'HPG', 'TCB', 'VCB', 'VHM', 'VPB', 'REE']","['BVH', 'GAS', 'MSN', 'ROS', 'SAB', 'VIC', 'VRE', 'PLX', 'POW', 'PNJ']",10,10
2020-10-31,2020-07,-0.04201884054957755,0.026746867712351508,"['ACB', 'BID', 'CTG', 'FPT', 'HPG', 'TCB', 'VCB', 'VHM', 'VPB', 'REE']","['BVH', 'GAS', 'MSN', 'ROS', 'SAB', 'VIC', 'VRE', 'PLX', 'POW', 'PNJ']",10,10
2020-11-30,2020-07,0.0418616563310306,0.12361498721818795,"['ACB', 'BID', 'CTG', 'FPT', 'HPG', 'TCB', 'VCB', 'VHM', 'VPB', 'REE']","['BVH', 'GAS', 'MSN', 'ROS', 'SAB', 'VIC', 'VRE', 'PLX', 'POW', 'PNJ']",10,10
2020-12-31,2020-07,-0.05932837295212795,0.11539430755617522,"['ACB', 'BID', 'CTG', 'FPT', 'HPG', 'TCB', 'VCB', 'VHM', 'VPB', 'REE']","['BVH', 'GAS', 'MSN', 'ROS', 'SAB', 'VIC', 'VRE', 'PLX', 'POW', 'PNJ']",10,10
2021-01-31,2020-07,0.06252667747371565,-0.034939655273328804,"['ACB', 'BID', 'CTG', 'FPT', 'HPG', 'TCB', 'VCB', 'VHM', 'VPB', 'REE']","['BVH', 'GAS', 'MSN', 'ROS', 'SAB', 'VIC', 'VRE', 'PLX', 'POW', 'PNJ']",10,10
2021-02-28,2021-01,0.06446349402868427,0.16193096110651328,"['ACB', 'CTG', 'HDB', 'HPG', 'MSN', 'STB', 'VPB', 'GVR', 'TPB', 'REE']","['BID', 'BVH', 'GAS', 'SAB', 'VHM', 'VIC', 'VJC', 'VRE', 'PLX', 'PNJ']",10,10
2021-03-31,2021-01,0.047636572703068716,0.03750138344548487,"['ACB', 'CTG', 'HDB', 'HPG', 'MSN', 'STB', 'VPB', 'GVR', 'TPB', 'REE']","['BID', 'BVH', 'GAS', 'SAB', 'VHM', 'VIC', 'VJC', 'VRE', 'PLX', 'PNJ']",10,10
2021-04-30,2021-01,0.08203128844731403,0.07416063057478675,"['ACB', 'CTG', 'HDB', 'HPG', 'MSN', 'STB', 'VPB', 'GVR', 'TPB', 'REE']","['BID', 'BVH', 'GAS', 'SAB', 'VHM', 'VIC', 'VJC', 'VRE', 'PLX', 'PNJ']",10,10
2021-05-31,2021-01,0.2359498844391013,0.22559374133067883,"['ACB', 'CTG', 'HDB', 'HPG', 'MSN', 'STB', 'VPB', 'GVR', 'TPB', 'REE']","['BID', 'BVH', 'GAS', 'SAB', 'VHM', 'VIC', 'VJC', 'VRE', 'PLX', 'PNJ']",10,10
2021-06-30,2021-01,-0.04727594839665564,0.019006990944422642,"['ACB', 'CTG', 'HDB', 'HPG', 'MSN', 'STB', 'VPB', 'GVR', 'TPB', 'REE']","['BID', 'BVH', 'GAS', 'SAB', 'VHM', 'VIC', 'VJC', 'VRE', 'PLX', 'PNJ']",10,10
2021-07-31,2021-01,0.05204437842919385,-0.03183405800708382,"['ACB', 'CTG', 'HDB', 'HPG', 'MSN', 'STB', 'VPB', 'GVR', 'TPB', 'REE']","['BID', 'BVH', 'GAS', 'SAB', 'VHM', 'VIC', 'VJC', 'VRE', 'PLX', 'PNJ']",10,10
2021-08-31,2021-07,-0.03958106060607301,-0.020524588931190146,"['ACB', 'CTG', 'HPG', 'MBB', 'STB', 'TCB', 'VPB', 'GVR', 'PDR', 'NVL']","['BID', 'BVH', 'GAS', 'SAB', 'VIC', 'VJC', 'VNM', 'VRE', 'PLX', 'POW']",10,10
2021-09-30,2021-07,-0.040405379820438625,-0.01206542049885977,"['ACB', 'CTG', 'HPG', 'MBB', 'STB', 'TCB', 'VPB', 'GVR', 'PDR', 'NVL']","['BID', 'BVH', 'GAS', 'SAB', 'VIC', 'VJC', 'VNM', 'VRE', 'PLX', 'POW']",10,10
2021-10-31,2021-07,-0.010994976819840241,0.0671662574499948,"['ACB', 'CTG', 'HPG', 'MBB', 'STB', 'TCB', 'VPB', 'GVR', 'PDR', 'NVL']","['BID', 'BVH', 'GAS', 'SAB', 'VIC', 'VJC', 'VNM', 'VRE', 'PLX', 'POW']",10,10
2021-11-30,2021-07,0.019884332611169585,-0.0013722748379713546,"['ACB', 'CTG', 'HPG', 'MBB', 'STB', 'TCB', 'VPB', 'GVR', 'PDR', 'NVL']","['BID', 'BVH', 'GAS', 'SAB', 'VIC', 'VJC', 'VNM', 'VRE', 'PLX', 'POW']",10,10
