time,ACB,BCM,BID,BMP,BVH,CII,CTD,CTG,DGC,DHG,DPM,DXG,EIB,FPT,GAS,GEX,GMD,GVR,HAG,HCM,HDB,HNG,HPG,HSG,HT1,KBC,KDC,KDH,LPB,MBB,MSB,MSN,MWG,NT2,NVL,OCB,PDR,PHR,PLX,PNJ,POW,REE,ROS,SAB,SBT,SHB,SSB,SSI,STB,TCB,TCH,TPB,VCB,VCI,VHC,VHM,VIB,VIC,VJC,VNM,VPB,VPI,VRE
2015-09-30,3.08,,,,,,,,,29.13,7.09,5.35,7.8,,,,10.58,,14.8,,,28.4,3.04,5.71,,8.82,,4.91,,2.84,,38.19,6.82,,,,3.42,5.67,,,,,,,,,,,13.6,,,,,,,,,,,,,,
2015-10-31,3.3,,,,,,,,,31.11,7.52,5.92,7.67,,,,13.27,,14.1,,,30.1,3.15,6.51,,10.08,,5.28,,2.73,,38.19,8.28,,,,3.01,5.7,,,,,,,,,,,13.6,,,,,,,,,,,,,,
2015-11-30,3.08,,10.24,30.66,43.63,14.82,,,,28.92,7.18,5.41,6.82,,20.41,1.0,12.01,,12.2,,,31.1,3.05,5.76,13.92,9.1,,5.47,,2.67,,36.13,8.39,10.39,,,3.2,5.67,,,,,,,,,,,11.0,,,,12.89,,10.46,,,,,46.33,,,
2015-12-31,3.14,,10.34,32.91,42.83,14.88,,7.9,8.97,29.13,7.18,5.68,7.28,9.0,17.93,1.08,13.8,,10.4,,,28.8,2.92,5.73,14.41,9.17,,5.65,,2.76,,40.0,8.78,10.32,,,3.16,5.54,,,,,,,,,,6.26,13.1,,,,13.19,,8.73,,,12.34,,47.83,,,
2016-01-31,3.01,,8.43,30.4,41.21,15.44,,7.31,8.76,28.92,7.08,5.44,6.82,8.64,19.42,1.16,13.02,,8.2,,,15.4,2.75,5.2,13.82,8.26,15.44,5.49,,2.73,,37.42,8.05,10.24,,,3.09,5.4,,13.72,,,,,,,,5.78,11.3,,,,12.44,,8.55,,,12.85,,43.34,,,
2016-02-29,3.13,,8.88,32.66,42.02,16.12,,7.56,8.94,39.21,7.03,5.08,6.76,8.9,21.16,1.18,12.83,,8.1,4.51,,8.0,2.79,5.65,14.41,9.17,16.76,5.52,,2.76,,37.16,8.39,10.28,,,3.11,5.44,,13.82,,9.28,,,,,,6.34,11.0,,,,12.32,,8.79,,,11.9,,47.83,,,
2016-03-31,2.9,,8.38,36.42,40.4,16.33,,6.97,7.9,36.8,7.13,4.9,6.82,8.77,21.22,1.3,12.7,,7.8,4.05,,8.0,2.95,6.27,13.87,8.89,16.35,5.99,,2.71,,36.9,8.45,12.88,,,3.54,5.81,,14.67,,9.25,,,,,,5.95,10.3,,,,12.32,,8.22,,,12.74,,50.07,,,
2016-04-30,2.84,,8.78,35.42,49.29,17.09,72.95,7.05,8.04,37.02,7.28,4.57,6.89,9.05,26.39,1.36,13.48,,8.0,4.06,,8.5,3.35,9.12,14.78,9.66,18.3,5.99,,2.86,,36.13,8.39,12.39,,,3.42,6.66,,17.58,,8.94,,,16.26,1.84,,6.03,10.3,,,,13.82,,8.64,,,14.17,,51.94,,,
2016-05-31,2.92,,9.14,36.04,48.48,17.43,76.18,7.56,7.68,34.73,7.14,4.6,8.45,8.92,31.05,1.34,14.04,,7.8,4.53,,8.1,3.38,10.27,15.86,10.29,18.71,6.07,,2.95,,35.87,9.81,13.27,,,3.54,6.56,,19.87,,9.03,,,15.53,1.78,,6.06,11.0,,,,14.03,,10.14,,,14.17,,53.06,,,
2016-06-30,3.01,,8.78,37.85,48.28,18.12,83.54,7.14,9.05,47.06,7.19,4.6,7.47,9.14,32.34,1.46,13.79,,7.3,4.3,,8.1,3.97,12.01,15.7,10.85,20.23,5.96,,2.82,,34.32,14.06,14.58,,,3.28,7.07,,23.54,,8.94,,,15.28,1.72,,5.86,11.3,,,,14.21,,14.15,,,14.82,,53.44,,,
2016-07-31,2.87,,8.83,42.26,48.28,18.36,96.09,7.56,8.99,42.27,7.58,4.66,7.73,8.97,30.27,1.97,13.48,,6.4,4.49,,6.9,4.46,11.46,16.34,12.39,20.88,6.07,,2.84,,33.03,15.31,14.74,,,3.04,6.59,,19.56,,8.99,,,16.07,1.7,,6.46,11.3,,,,16.22,,16.33,,,15.3,,59.89,,,
2016-08-31,2.86,,8.23,42.26,50.74,20.2,105.18,7.39,9.84,44.09,7.53,4.48,7.28,9.6,33.12,2.9,14.45,,6.3,4.16,,7.3,5.09,12.63,14.68,12.46,27.82,6.83,,2.8,,35.61,16.46,15.6,,,3.04,6.28,,21.55,,8.77,,,17.19,1.5,,6.03,10.4,,,,16.22,,17.26,,,14.42,,72.97,,,
2016-09-30,2.9,,8.53,50.24,58.02,20.83,112.37,7.2,12.26,51.18,7.4,4.36,6.69,10.2,36.74,3.0,15.02,,5.25,4.23,,5.6,5.43,12.22,15.05,13.3,28.33,7.41,,2.82,,36.29,15.91,16.61,,,3.05,6.18,,22.92,,9.42,,,15.18,1.3,,6.29,9.32,,,,15.85,,18.28,,,16.35,,65.48,,,
2016-10-31,3.01,,8.38,52.32,52.37,20.13,112.5,7.16,9.84,45.01,7.21,4.52,6.63,9.51,34.39,4.36,13.94,,5.2,4.03,,6.01,4.84,11.65,14.13,12.18,27.24,7.4,,2.84,,33.91,16.57,15.34,,,3.18,7.64,,20.78,,9.27,,,16.74,1.53,,6.21,8.82,,11.53,,14.9,,17.07,,,15.61,,66.42,,,
2016-11-30,3.03,,8.09,50.55,48.12,20.83,99.23,6.84,9.16,44.87,7.07,5.3,6.14,9.48,33.3,4.49,13.94,,5.91,3.86,,6.8,5.0,14.14,14.06,10.01,25.51,7.08,,2.65,,33.09,18.86,13.85,,,3.31,8.59,,21.37,,9.68,,,15.46,1.47,,5.87,7.5,,8.45,,14.57,,14.91,,,15.43,,64.55,,,
2016-12-31,3.06,,7.51,50.01,47.63,20.34,105.28,6.39,8.88,44.78,6.25,4.87,5.85,9.62,32.74,5.04,13.84,,5.35,3.99,,6.2,5.13,14.81,13.22,9.69,27.28,6.98,,2.78,,33.45,17.83,12.18,25.64,,3.21,8.81,,20.62,,10.75,98106.0,72.18,15.59,1.39,,5.78,9.45,,7.58,,14.67,,18.34,,,15.43,,58.75,,,
2017-01-31,4.11,,8.93,50.53,50.0,22.19,111.63,8.21,8.13,50.26,6.75,5.24,6.23,9.86,32.47,6.09,14.51,,5.6,4.11,,7.3,5.03,14.46,12.9,9.55,27.69,6.87,,2.81,,33.42,18.29,12.94,25.86,,3.38,9.97,,21.4,,11.21,112803.0,81.71,15.46,1.45,,5.96,10.2,,7.55,,16.27,,17.92,,1.65,15.43,,60.34,,,
